SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,921 Stadium Dr,Green Bay,WI,54304,498000,3,2,Brown,1806,9583,1958,1,276,,Active,,,http://www.redfin.com/WI/Green-Bay/921-Stadium-Dr-54304/home/57789028,RANW,50209564,N,Y,44.498393,-88.061688
MLS Listing,,Single Family Residential,1266 Hastings St,Green Bay,WI,54301,97500,2,1,Brown,971,11761,1965,1,100,,Active,,,http://www.redfin.com/WI/Green-Bay/1266-Hastings-St-54301/home/90155795,RANW,50209566,N,Y,44.490181,-88.011077
MLS Listing,,Single Family Residential,1053 Shawano Ave,Green Bay,WI,54303,84900,2,1,Brown,824,5662,1923,1,103,,Active,,,http://www.redfin.com/WI/Green-Bay/1053-Shawano-Ave-54303/home/90178490,RANW,50209529,N,Y,44.5219666,-88.0375887
MLS Listing,,Single Family Residential,1612 Harold St,Green Bay,WI,54302,118900,4,1.1,Brown,1080,6098,1971,1,110,,Active,,,http://www.redfin.com/WI/Green-Bay/1612-Harold-St-54302/home/90148361,RANW,50209546,N,Y,44.5159776,-87.9820841
MLS Listing,,Single Family Residential,900 Cherry St,Green Bay,WI,54301,149900,4,2,Brown,1792,3920,1913,1,84,,Active,,,http://www.redfin.com/WI/Green-Bay/900-Cherry-St-54301/home/90183214,RANW,50209500,N,Y,44.5115496,-88.0054048
MLS Listing,,Single Family Residential,2874 Shelter Creek Ct,Green Bay,WI,54313,799900,6,4.1,Shelter Creek Estates,6516,152460,2003,1,123,,Active,,,http://www.redfin.com/WI/Green-Bay/2874-Shelter-Creek-Ct-54313/home/57687870,RANW,50209521,N,Y,44.5040074,-88.113083
MLS Listing,,Single Family Residential,1833 11th Ave,Green Bay,WI,54304,119900,2,2,Brown,720,9000,1948,1,167,,Active,,,http://www.redfin.com/WI/Green-Bay/1833-11th-Ave-54304/home/90176062,RANW,50209484,N,Y,44.497999,-88.0445231
MLS Listing,,Single Family Residential,1035 Division St,Green Bay,WI,54303,114900,2,1,Brown,1053,8733,1948,1,109,,Active,August-24-2019 12:30 PM,August-24-2019 01:30 PM,http://www.redfin.com/WI/Green-Bay/1035-Division-St-54303/home/90179255,RANW,50209523,N,Y,44.5252608,-88.0344554
MLS Listing,,Single Family Residential,1434 Glen Rd,Green Bay,WI,54313,189900,3,1.1,Province,1584,9600,1969,1,120,,Active,,,http://www.redfin.com/WI/Green-Bay/1434-Glen-Rd-54313/home/102827867,RANW,50209510,N,Y,44.494939,-88.091118
MLS Listing,,Single Family Residential,260 N Danz Ave,Green Bay,WI,54302,135000,3,2,Brown,1527,7840,1960,1,88,,Active,,,http://www.redfin.com/WI/Green-Bay/260-N-Danz-Ave-54302/home/90149126,RANW,50209495,N,Y,44.5056221,-87.9675723
MLS Listing,,Single Family Residential,514 Hartung St,Green Bay,WI,54302,109900,3,2,Brown,1187,5730,1925,1,93,,Active,,,http://www.redfin.com/WI/Green-Bay/514-Hartung-St-54302/home/57640461,RANW,50209482,N,Y,44.4992368,-87.9937027
MLS Listing,,Single Family Residential,2772 Rockwood Hts,Green Bay,WI,54313,239900,3,2.2,Brown,2241,13503,1993,1,107,,Active,August-25-2019 11:00 AM,August-25-2019 12:30 PM,http://www.redfin.com/WI/Green-Bay/2772-Rockwood-Hts-54313/home/102828527,RANW,50209473,N,Y,44.5525019,-88.091326
MLS Listing,,Single Family Residential,336 Abrams St,Green Bay,WI,54302,104900,2,1,Brown,1020,9147,1880,1,103,,Active,,,http://www.redfin.com/WI/Green-Bay/336-Abrams-St-54302/home/57644191,RANW,50209492,N,Y,44.4981381,-87.9815736
MLS Listing,,Single Family Residential,4411 H E Townline Rd,Green Bay,WI,54311,224900,3,2,Brown,1248,65340,1973,1,180,,Active,,,http://www.redfin.com/WI/Eaton/Town-Line-Rd-54311/home/90183564,RANW,50209444,N,Y,44.473497,-87.862633
MLS Listing,,Single Family Residential,2717 Bay Settlement Rd,Green Bay,WI,54311,249900,3,2,Brown,2083,45738,1966,2,120,,Active,,,http://www.redfin.com/WI/Green-Bay/2717-Bay-Settlement-Rd-54311/home/90164932,RANW,50209460,N,Y,44.5427842,-87.8975799
MLS Listing,,Single Family Residential,729 Bascom Way,Green Bay,WI,54311,209900,4,2,Brown,2246,13503,1975,2,93,,Active,,,http://www.redfin.com/WI/Green-Bay/729-Bascom-Way-54311/home/102822819,RANW,50209458,N,Y,44.5143899,-87.9260114
MLS Listing,,Single Family Residential,330 Graass St,Green Bay,WI,54301,194900,3,2.1,Brown,1794,9583,1973,2,109,,Active,,,http://www.redfin.com/WI/Green-Bay/330-Graass-St-54301/home/90156325,RANW,50209456,N,Y,44.4867009,-88.013007
MLS Listing,,Single Family Residential,1164 Bond St,Green Bay,WI,54303,85000,3,1,Brown,1032,10018,1963,2,82,,Active,,,http://www.redfin.com/WI/Green-Bay/1164-Bond-St-54303/home/90179404,RANW,50209378,N,Y,44.5305034,-88.0377033
MLS Listing,,Vacant Land,3102 Sandstone Ct,Green Bay,WI,54313,75000,,,Sand Ridge Park South,,11761,,2,,,Active,,,http://www.redfin.com/WI/Green-Bay/3102-Sandstone-Ct-54313/home/147406099,RANW,50209432,N,Y,44.51796236,-88.12474251
MLS Listing,,Single Family Residential,2074 Spring Creek Cir,Green Bay,WI,54311,194900,3,2,Brown,1619,15681,1988,2,120,,Active,,,http://www.redfin.com/WI/Green-Bay/2074-Spring-Creek-Cir-54311/home/90184726,RANW,50209428,N,Y,44.464066,-87.934903
MLS Listing,,Vacant Land,3101 Ferndale Dr,Green Bay,WI,54313,75000,,,Sand Ridge Park South,,12196,,2,,,Active,,,http://www.redfin.com/WI/Green-Bay/3101-Ferndale-Dr-54313/home/144651453,RANW,50209425,N,Y,44.5181847,-88.1248992
MLS Listing,,Single Family Residential,1275 Alice Dr,Green Bay,WI,54304,194900,4,3,Brown,1270,9583,1969,2,153,,Active,,,http://www.redfin.com/WI/Green-Bay/1275-Alice-Dr-54304/home/90168938,RANW,50209376,N,Y,44.50077,-88.0787541
MLS Listing,,Vacant Land,1031 Winford Ave,Green Bay,WI,54303,14600,,,Brown,,7904,,2,,,Active,,,http://www.redfin.com/WI/Green-Bay/1031-Winford-Ave-54303/home/90147403,RANW,50209403,N,Y,44.5351948,-88.0340446
MLS Listing,,Single Family Residential,2880 Lavender Ln,Green Bay,WI,54313,199900,3,2,Brown,1366,12842,1986,2,146,,Active,,,http://www.redfin.com/WI/Green-Bay/2880-Lavender-Ln-54313/home/57840282,RANW,50209392,N,Y,44.567704,-88.094602
MLS Listing,,Single Family Residential,421 Floral Dr,Green Bay,WI,54301,159900,3,1.1,Brown,1638,9110,1978,2,98,,Active,,,http://www.redfin.com/WI/Green-Bay/421-Floral-Dr-54301/home/57720706,RANW,50209384,N,Y,44.48221,-88.014963
