SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,243 Von Huenfeld St,Massapequa Park,NY,11762,449000,5,2,The Village,,6000,1955,3,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/243-Von-Huenfeld-St-11762/home/20336714,MLSLI,3157759,N,Y,40.6855313,-73.4494534
MLS Listing,,Single Family Residential,437 Charles Ave,Massapequa Park,NY,11762,629000,3,2,Massapequa Park,,6000,1954,7,,,Active,August-25-2019 11:30 AM,August-25-2019 01:30 PM,http://www.redfin.com/NY/Massapequa-Park/437-Charles-Ave-11762/home/20343617,MLSLI,3156544,N,Y,40.6982434,-73.4427208
MLS Listing,,Single Family Residential,241 Park Pl,Massapequa Park,NY,11762,450000,4,2,Massapequa Park,,6000,1960,9,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/241-Park-Pl-11762/home/20259734,MLSLI,3156159,N,Y,40.6722949,-73.4630217
MLS Listing,,Single Family Residential,63 Atlantic Ave,Massapequa Park,NY,11762,649000,4,2,Massapequa Park,,6000,1950,9,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/63-Atlantic-Ave-11762/home/20344649,MLSLI,3155965,N,Y,40.6801285,-73.4435955
MLS Listing,,Single Family Residential,230 Park Pl,Massapequa Park,NY,11762,749000,4,2,Massapequa Park,2200,6400,1966,9,340,,Active,,,http://www.redfin.com/NY/Massapequa-Park/230-Park-Pl-11762/home/20257162,MLSLI,3155903,N,Y,40.6723239,-73.463482
MLS Listing,,Single Family Residential,324 1st Ave,Massapequa Park,NY,11762,589000,3,2,Massapequa Park,,6000,1956,11,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/324-1st-Ave-11762/home/20340780,MLSLI,3155497,N,Y,40.6937421,-73.4459433
MLS Listing,,Single Family Residential,333 Charles Ave,Massapequa Park,NY,11762,449000,4,2,Massapequa Park,1296,6000,1954,11,346,,Active,,,http://www.redfin.com/NY/Massapequa-Park/333-Charles-Ave-11762/home/20343622,MLSLI,3155442,N,Y,40.6937895,-73.4436415
MLS Listing,,Single Family Residential,332 Broadway,Massapequa Park,NY,11762,579000,3,1.5,Massapequa Park,,6000,1954,14,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/332-Broadway-11762/home/20345433,MLSLI,3154956,N,Y,40.6939924,-73.4450226
MLS Listing,,Single Family Residential,1270 Lakeshore Dr,Massapequa Park,NY,11762,675000,5,2,Massapequa Park,,7100,1951,14,,,Active,August-25-2019 12:00 PM,August-25-2019 02:00 PM,http://www.redfin.com/NY/Massapequa-Park/1270-Lake-Shore-Dr-11762/home/20338836,MLSLI,3154718,N,Y,40.692182,-73.4523881
MLS Listing,,Single Family Residential,123 Whitewood Dr,Massapequa Park,NY,11762,1249000,5,5,Bar Harbor,,14061,1975,15,,,Active,August-25-2019 01:00 PM,August-25-2019 02:30 PM,http://www.redfin.com/NY/Massapequa-Park/123-Whitewood-Dr-11762/home/20226784,MLSLI,3154514,N,Y,40.661439,-73.4480839
MLS Listing,,Single Family Residential,262 O'connell St,Massapequa Park,NY,11762,542000,3,1.5,Massapequa Park,,6000,1959,15,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/262-Oconnell-St-11762/home/20339099,MLSLI,3154403,N,Y,40.7000227,-73.444332
MLS Listing,,Single Family Residential,1232 Lakeshore Dr,Massapequa Park,NY,11762,739000,5,2,Incorporated Village,2601,6000,1928,16,284,,Active,,,http://www.redfin.com/NY/Massapequa-Park/1232-Lake-Shore-Dr-11762/home/20338838,MLSLI,3154192,N,Y,40.6908834,-73.4532628
MLS Listing,,Single Family Residential,96 Kings Walk,Massapequa Park,NY,11762,749000,4,2.5,Bar Harbour,1860,8500,1962,18,403,,Active,,,http://www.redfin.com/NY/Massapequa-Park/96-Kings-Walk-11762/home/20226985,MLSLI,3153401,N,Y,40.6601723,-73.4503626
MLS Listing,,Townhouse,20 Roosevelt Ave,Massapequa Park,NY,11762,489000,5,2,Massapequa Park,1572,6000,1958,18,311,,Active,August-25-2019 12:00 PM,August-25-2019 02:00 PM,http://www.redfin.com/NY/Massapequa-Park/20-Roosevelt-Ave-11762/home/20289210,MLSLI,3153344,N,Y,40.6791192,-73.4524802
MLS Listing,,Single Family Residential,4 Fulton St,Massapequa Park,NY,11762,599999,6,3,Massapequa Park,2203,6000,1949,21,272,,Active,,,http://www.redfin.com/NY/Massapequa-Park/4-Fulton-St-11762/home/20336632,MLSLI,3152740,N,Y,40.6833915,-73.4574058
MLS Listing,,Single Family Residential,85 Glengariff Rd,Massapequa Park,NY,11762,569000,3,2,Massapequa Park,1333,6500,1954,22,427,,Active,August-24-2019 11:00 AM,August-24-2019 01:00 PM,http://www.redfin.com/NY/Massapequa-Park/85-Glengariff-Rd-11762/home/20259451,MLSLI,3152556,N,Y,40.6758891,-73.4575439
MLS Listing,,Single Family Residential,6 Skylark Rd,Massapequa Park,NY,11762,1100000,5,3.5,Bar Harbour Community,3038,10200,1968,22,362,,Active,,,http://www.redfin.com/NY/Massapequa-Park/6-Skylark-Rd-11762/home/20224725,MLSLI,3152438,N,Y,40.6594461,-73.45225
MLS Listing,,Single Family Residential,172 1st Ave,Massapequa Park,NY,11762,449000,5,2,Village,2258,5985,1954,23,199,,Active,,,http://www.redfin.com/NY/Massapequa-Park/172-1st-Ave-11762/home/20341716,MLSLI,3152100,N,Y,40.6871954,-73.4473243
MLS Listing,,Single Family Residential,454 2nd Ave,Massapequa Park,NY,11762,349999,3,1,Massapequa Park,,7600,1956,23,,,Active,August-25-2019 01:00 PM,August-25-2019 02:00 PM,http://www.redfin.com/NY/Massapequa-Park/454-2nd-Ave-11762/home/20339056,MLSLI,3152055,N,Y,40.6994795,-73.445621
