SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,234 N Broadway #210,Milwaukee,WI,53202,229900,1,1,Milwaukee,1300,,1893,13,177,501,Active,,,http://www.redfin.com/WI/Milwaukee/234-N-Broadway-53202/unit-210/home/58046216,METROMLS,1653156,N,Y,43.0334682,-87.9068008
MLS Listing,,Condo/Co-op,606 W Wisconsin Ave #1602,Milwaukee,WI,53203,363000,2,2.5,Milwaukee,1954,,1929,55,186,665,Active,,,http://www.redfin.com/WI/Milwaukee/606-W-Wisconsin-Ave-53203/unit-1602/home/90323707,METROMLS,1645737,N,Y,43.0391283,-87.9192844
MLS Listing,,Multi-Family (2-4 Unit),1728 N Franklin Pl,Milwaukee,WI,53202,650000,,,Milwaukee,3912,8712,1891,1,166,,Active,,,http://www.redfin.com/WI/Milwaukee/1728-N-Franklin-Pl-53202/home/168699137,METROMLS,1653442,N,Y,43.053644,-87.8967057
MLS Listing,,Single Family Residential,538 N 51st St,Milwaukee,WI,53208,199900,4,2,Milwaukee,1249,5227,1913,1,160,,Active,,,http://www.redfin.com/WI/Milwaukee/538-N-51st-St-53208/home/57700374,METROMLS,1654623,N,Y,43.0376261,-87.97733
MLS Listing,,Single Family Residential,2119 E Edgewood Ave,Milwaukee,WI,53211,350000,3,2.5,Milwaukee,1757,4356,1926,1,199,,Active,August-22-2019 04:30 PM,August-22-2019 06:00 PM,http://www.redfin.com/WI/Milwaukee/2119-E-Edgewood-Ave-53211/home/57889891,METROMLS,1654597,N,Y,43.081682,-87.883355
MLS Listing,,Single Family Residential,7809 W Ohio Ave,Milwaukee,WI,53219,189900,3,1.5,Milwaukee,1152,8712,1957,1,165,,Active,August-23-2019 05:30 AM,August-23-2019 07:30 PM,http://www.redfin.com/WI/Milwaukee/7809-W-Ohio-Ave-53219/home/90241024,METROMLS,1654424,N,Y,42.9844355,-88.0106248
MLS Listing,,Single Family Residential,3118 N Marietta Ave,Milwaukee,WI,53211,599900,5,3.5,Milwaukee,2893,4791,1908,1,207,,Active,August-22-2019 04:00 PM,August-22-2019 06:00 PM,http://www.redfin.com/WI/Milwaukee/3118-N-Marietta-Ave-53211/home/57746443,METROMLS,1653608,N,Y,43.0751828,-87.8730527
MLS Listing,,Single Family Residential,4967 W Medford,Milwaukee,WI,53216,174900,4,2,Milwaukee,2413,10454,1926,1,72,,Active,,,http://www.redfin.com/WI/Milwaukee/4967-W-Medford-Ave-53216/home/90211250,METROMLS,1655186,N,Y,43.0875579,-87.9755699
MLS Listing,,Multi-Family (2-4 Unit),2872 N Booth St #2870,Milwaukee,WI,53212,210000,5,2,Milwaukee,2370,2613,1912,1,89,,Active,,,http://www.redfin.com/WI/Milwaukee/2872-N-Booth-St-53212/unit-2870/home/168699013,METROMLS,1655180,N,Y,43.0708455,-87.9038196
MLS Listing,,Condo/Co-op,1812 E Lafayette Pl #302,Milwaukee,WI,53202,330000,3,2,Milwaukee,1550,,2003,1,213,320,Active,,,http://www.redfin.com/WI/Milwaukee/1812-E-Lafayette-Pl-53202/unit-302/home/90322859,METROMLS,1655167,N,Y,43.0568543,-87.887926
MLS Listing,,Single Family Residential,6031 W Burleigh St,Milwaukee,WI,53210,42900,2,1,Milwaukee,768,4791,1948,1,56,,Active,,,http://www.redfin.com/WI/Milwaukee/6031-W-Burleigh-St-53210/home/57947411,METROMLS,1655155,N,Y,43.0751618,-87.9882331
MLS Listing,,Single Family Residential,5271 N 83rd St,Milwaukee,WI,53218,132900,3,1.5,Milwaukee,1050,5662,1956,1,127,,Active,,,http://www.redfin.com/WI/Milwaukee/5271-N-83rd-St-53218/unit-10/home/90347207,METROMLS,1655139,N,Y,43.113832,-88.0148674
MLS Listing,,Multi-Family (5+ Unit),2417 N Oakland Ave,Milwaukee,WI,53211,685000,,,Milwaukee,6378,10890,1900,1,107,,Active,,,http://www.redfin.com/WI/Milwaukee/2417-N-Oakland-Ave-53211/home/90361406,METROMLS,1655124,N,Y,43.0618164,-87.8883127
