"APFT_Score" "IOCT_Time"
332 203
366 197
223 235
337 210
320 220
298 231
260 345
333 260
275 213
240 248
275 266
244 233
235 299
276 282
253 347
284 237
314 299
299 349
255 329
336 234
326 195
260 231
334 202
238 356
276 250
289 256
223 278
280 274
298 211
249 288
282 201
345 213
290 212
238 248
263 278
275 629
273 262
281 311
262 254
332 206
276 489
266 234
278 281
256 276
276 207
269 310
269 276
268 224
285 225
250 258
290 271
263 292
249 360
267 279
230 440
285 244
271 304
285 232
286 190
295 227
282 266
269 300
257 223
255 231
285 278
248 277
279 208
339 249
295 262
251 299
321 222
293 198
297 234
298 201
266 208
243 445
231 229
314 225
295 295
328 194
246 261
255 337
254 233
275 261
262 242
290 249
265 266
282 221
276 262
265 252
312 292
295 354
256 321
292 191
232 261
234 290
318 188
322 232
264 312
324 207
326 228
346 184
282 226
255 345
