"APFT_Score" "IOCT_Time"
332 203
366 197
359 150
223 235
337 210
296 203
320 220
287 170
251 183
298 231
315 168
260 345
196 171
323 168
333 260
279 186
251 166
245 176
275 213
292 167
234 175
240 248
275 266
244 233
250 172
280 173
263 191
235 299
276 282
321 182
253 347
264 214
353 164
226 188
294 150
251 257
330 180
273 172
277 186
349 152
284 237
251 192
314 299
271 174
285 167
248 198
275 185
241 206
270 186
265 226
299 349
234 187
255 329
226 179
234 236
259 178
275 175
277 147
336 234
264 160
328 152
326 195
260 231
354 166
242 167
286 147
288 149
334 202
274 200
255 165
261 229
245 181
315 179
281 183
283 163
238 356
270 173
276 250
239 185
289 256
342 153
256 179
195 193
257 184
223 278
328 146
280 274
230 175
298 211
249 288
291 159
289 164
296 165
283 177
258 174
281 170
213 250
257 186
272 164
268 193
279 161
282 201
345 213
290 212
244 170
238 248
263 278
285 188
274 184
360 153
283 173
204 206
275 629
220 234
286 157
254 185
286 182
227 208
241 207
233 195
236 207
261 191
236 219
278 155
235 181
232 180
271 186
281 167
270 178
252 180
275 157
237 190
284 159
318 170
273 262
281 311
278 196
271 183
185 278
262 254
293 199
332 206
244 186
263 176
320 166
276 489
266 234
266 173
326 157
273 220
293 151
278 281
311 159
279 193
292 181
268 154
255 184
228 191
256 276
297 175
339 139
246 239
276 207
289 241
269 310
197 180
243 196
258 160
290 171
269 276
245 179
264 205
336 152
257 312
230 190
308 183
268 224
226 215
324 146
257 230
258 159
285 225
250 258
315 158
220 185
323 163
255 184
374 169
290 271
263 292
286 157
260 244
278 201
264 169
288 166
249 360
250 178
224 251
274 170
267 279
258 197
230 440
254 188
287 170
285 244
271 304
285 232
245 157
294 159
329 160
248 168
286 190
285 212
259 167
295 227
323 182
292 172
282 266
191 178
292 157
284 155
254 146
289 186
269 300
257 223
273 195
255 231
264 168
276 158
219 163
285 278
323 191
268 171
248 277
364 167
268 174
288 162
279 208
329 152
290 184
289 153
239 177
241 172
224 198
339 249
288 169
327 161
259 192
201 243
218 223
295 262
288 166
251 299
285 176
321 222
286 172
255 232
246 168
293 198
297 234
338 154
298 201
266 208
263 214
277 171
243 445
328 154
254 211
282 186
246 174
231 229
282 164
314 225
239 196
273 185
275 184
225 176
224 192
263 183
264 213
266 181
244 172
324 161
289 168
274 181
295 295
297 181
366 152
272 167
271 169
328 194
271 169
204 191
246 261
222 203
231 218
297 152
237 187
294 179
268 178
245 261
279 171
270 181
288 194
260 167
242 177
255 337
282 165
292 174
254 233
275 261
249 187
262 242
290 249
261 204
265 266
242 181
263 215
284 159
220 335
282 221
276 262
265 252
236 196
266 174
256 183
279 179
265 183
256 176
271 152
258 163
274 186
231 155
227 215
312 292
262 160
295 354
289 193
259 199
256 321
271 203
283 150
292 191
249 152
218 173
232 261
346 168
260 166
260 174
253 184
234 290
318 188
255 204
297 162
192 210
286 179
292 182
310 198
258 180
289 218
279 245
174 195
322 232
252 170
264 312
263 160
272 173
324 207
260 168
252 187
369 156
210 185
326 228
267 182
247 196
346 184
282 226
276 180
265 181
274 184
241 177
255 345
289 177
355 146
